web-scraper-order;address_raw;datetime;rooms;area;luxurious;price;price_per_m2;lat;lon;bfs_number;bfs_name;pop;pop_dens;frg_pct;emp;tax_income;dist_supermarket
1662023777-1058;Hardturmstr. 5, 8005 Zürich, ZH;17.09.2022 11:44;2.5;92;0;4410;47.93;47.39119339;8.519919395;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;132.3971727
1662023786-1137;Glatttalstrasse 106, 8052 Zürich, ZH;17.09.2022 11:44;3.5;92;0;2010;21.85;47.43009186;8.544836998;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;779.5857946
1662023739-787;Langgrütstrasse 104, 8047 Zürich, ZH;17.09.2022 11:44;3.5;82;0;3370;41.1;47.37329483;8.495368004;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;387.3117848
1662023723-666;8001 Zürich, ZH;17.09.2022 11:44;4.5;137;0;16;0.12;47.36893463;8.541392326;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;7.371820841
1662023807-1311;Schaffhauserstrasse 473, 8052 Zürich, ZH;17.09.2022 11:44;1;47;0;1170;24.89;47.42004013;8.548195839;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;57.98353689
1662023761-944;Am Wasser 161, 8049 Zürich, ZH;17.09.2022 11:44;1.5;32;0;2100;65.62;47.39943695;8.495816231;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;407.4024613
1662023804-1296;Nordstrasse 135, 8037 Zürich, ZH;17.09.2022 11:44;4;70;0;2950;42.14;47.39029312;8.533413887;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;517.6510508
1662023692-412;Im Isengrind 11, 8046 Zürich, ZH;17.09.2022 11:44;3.5;80;0;2100;26.25;47.42313766;8.511916161;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;411.3375249
1662023701-494;Herrligweg 9, 8048 Zürich, ZH;17.09.2022 11:44;2.5;60;0;2500;41.67;47.38989258;8.484477997;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;233.8651918
1662023749-856;Flobotstrasse 2, 8044 Zürich, ZH;17.09.2022 11:44;3.5;111;1;5620;50.63;47.37957764;8.570284843;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;818.9852416
1662023795-1219;Maneggplatz 16, 8041 Zürich, ZH;17.09.2022 11:44;2.5;65;0;2300;35.38;47.3398819;8.520716667;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;451.2688964
1662023736-751;Hinterbergstrasse 106, 8044 Zürich, ZH;17.09.2022 11:44;2.5;98;1;2995;30.56;47.38513184;8.559892654;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;639.7723857
1662023771-1013;Mühlebachstr. 28, 8008 Zürich, ZH;17.09.2022 11:44;2.5;94;0;4585;48.78;47.36485672;8.550126076;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;189.7160462
